date,Aspropirgos,Galatsi,Kiourka,Menidi,Total
1996-11-30,0,310130,67270,409580,786980
1996-12-01,0,309180,56630,388690,754500
1996-12-02,37000,306160,53960,343320,740440
1996-12-03,44200,309380,56950,400280,810810
1996-12-04,34500,317640,49790,363360,765290
1996-12-05,37400,312590,52430,376470,778890
1996-12-06,47500,311400,59170,353810,771880
1996-12-07,37000,312840,64180,401380,815400
1996-12-08,39000,297280,62340,348470,747090
1996-12-09,39000,324410,62360,368940,794710
1996-12-10,34800,323470,58620,349230,766120
1996-12-11,34800,297210,54490,339030,725530
1996-12-12,37100,287730,57930,391970,774730
1996-12-13,43900,283610,63500,409120,800130
1996-12-14,40700,316820,62340,393970,813830
1996-12-15,34100,300630,58800,347960,741490
1996-12-16,0,320170,59240,397000,776410
1996-12-17,0,310520,58280,399020,767820
1996-12-18,0,294270,61540,366530,722340
1996-12-19,0,317760,59260,390480,767500
1996-12-20,0,313690,59370,371430,744490
1996-12-21,0,335890,84610,378070,798570
1996-12-22,0,299970,67420,368660,736050
1996-12-23,0,329300,62340,391060,782700
1996-12-24,0,311900,60290,398980,771170
1996-12-25,0,282150,57870,336460,676480
1996-12-26,0,280720,58480,353720,692920
1996-12-27,0,288940,54190,367190,710320
1996-12-28,0,287880,59800,381380,729060
1996-12-29,0,291560,55480,361500,708540
1996-12-30,0,319430,59600,429650,808680
1996-12-31,0,302510,68840,446910,818260
1997-01-01,0,289540,61030,343560,694130
1997-01-02,0,307850,64840,395140,767830
1997-01-03,0,303590,62560,396080,762230
1997-01-04,0,320150,68790,403430,792370
1997-01-05,0,288400,61180,371710,721290
1997-01-06,0,294720,64650,360500,719870
1997-01-07,0,306700,59910,378300,744910
1997-01-08,0,262400,64070,423750,750220
1997-01-09,0,248100,61930,486620,796650
1997-01-10,0,201760,62460,493800,758020
1997-01-11,0,207560,65470,511540,784570
1997-01-12,0,163510,55770,472330,691610
1997-01-13,0,174260,59500,511120,744880
1997-01-14,0,226260,62540,461110,749910
1997-01-15,0,181480,59450,508550,749480
1997-01-16,0,218800,60500,491820,771120
1997-01-17,0,192720,57140,513400,763260
1997-01-18,0,205570,70000,519290,794860
1997-01-19,0,179240,68900,488350,736490
1997-01-20,0,200860,56960,520130,777950
1997-01-21,0,201220,62440,498760,762420
1997-01-22,0,226580,60050,470090,756720
1997-01-23,0,202520,57580,512150,772250
1997-01-24,0,211810,59870,505180,776860
1997-01-25,0,202700,67440,533420,803560
1997-01-26,0,186890,57000,476600,720490
1997-01-27,0,204570,57870,496670,759110
1997-01-28,0,196290,59870,512240,768400
1997-01-29,0,212360,63500,500720,776580
1997-01-30,0,194090,57410,487640,739140
1997-01-31,0,211250,64540,511950,787740
1997-02-01,0,217180,68930,546900,833010
1997-02-02,0,190000,66210,465470,721680
1997-02-03,0,197430,62790,512890,773110
1997-02-04,0,212300,58890,495570,766760
1997-02-05,0,198150,68860,503730,770740
1997-02-06,0,209280,82520,515920,807720
1997-02-07,0,190640,59220,512620,762480
1997-02-08,0,202880,53950,494070,750900
1997-02-09,0,197700,63290,489770,750760
1997-02-10,0,200940,59690,535290,795920
1997-02-11,0,198090,60380,525620,784090
1997-02-12,0,199730,61060,535660,796450
1997-02-13,21600,195230,74060,501810,792700
1997-02-14,35340,200950,64490,500970,801750
1997-02-15,37040,219730,78020,513690,848480
1997-02-16,33820,189650,67740,459250,750460
1997-02-17,32610,201940,61170,461940,757660
1997-02-18,31390,204140,59340,461060,755930
1997-02-19,34080,203200,63370,467530,768180
1997-02-20,33940,200150,54500,471680,760270
1997-02-21,31830,221010,57470,455830,766140
1997-02-22,41110,209070,76340,518940,845460
1997-02-23,33750,203400,70650,471330,779130
1997-02-24,33340,193010,58520,500750,785620
1997-02-25,37090,194490,70400,492540,794520
1997-02-26,40280,199860,68470,498480,807090
1997-02-27,31670,206370,69470,492590,800100
1997-02-28,34530,193940,62570,471230,762270
1997-03-01,47520,192560,64710,486790,791580
1997-03-02,28090,204410,64460,457730,754690
1997-03-03,33520,202820,61470,492940,790750
1997-03-04,38820,224390,69340,484520,817070
1997-03-05,34620,195660,65700,513270,809250
1997-03-06,38420,195120,67070,497700,798310
1997-03-07,39270,191490,68930,506850,806540
1997-03-08,36680,199770,75530,480840,792820
1997-03-09,29410,184070,64840,401150,679470
1997-03-10,29530,201200,68760,430220,729710
1997-03-11,33820,211950,64420,461270,771460
1997-03-12,34200,214970,67790,486790,803750
1997-03-13,35110,231590,70920,494450,832070
1997-03-14,37730,211030,76220,500080,825060
1997-03-15,42930,226540,82820,515290,867580
1997-03-16,32600,166440,91250,501130,791420
1997-03-17,39210,202370,75870,517800,835250
1997-03-18,20170,327910,72450,389930,810460
1997-03-19,3530,360770,86950,333840,785090
1997-03-20,7640,398620,107610,256570,770440
1997-03-21,7600,327970,58400,396640,790610
1997-03-22,6710,341760,56450,386230,791150
1997-03-23,8270,323970,52270,361560,746070
1997-03-24,5970,316320,55620,415510,793420
1997-03-25,6680,288020,58250,369670,722620
1997-03-26,6220,341470,51630,368360,767680
1997-03-27,8920,318250,55570,382620,765360
1997-03-28,7800,361470,59210,414190,842670
1997-03-29,9990,355530,66300,431960,863780
1997-03-30,11440,291570,62060,390370,755440
1997-03-31,3570,330700,57200,389480,780950
1997-04-01,33710,313610,57690,387250,792260
1997-04-02,33430,341190,58640,366740,800000
1997-04-03,36470,312320,67670,360250,776710
1997-04-04,36470,301260,64460,358230,760420
1997-04-05,33690,330970,56980,375710,797350
1997-04-06,34280,306080,58490,360610,759460
1997-04-07,30770,304980,48040,333620,717410
1997-04-08,27050,329160,53770,352090,762070
1997-04-09,36950,318430,61450,377230,794060
1997-04-10,36280,330840,67640,367660,802420
1997-04-11,35450,342890,67190,382310,827840
1997-04-12,40600,366320,79680,403750,890350
1997-04-13,33570,322680,75200,351130,782580
1997-04-14,30910,331150,65070,363660,790790
1997-04-15,32170,342680,63960,373880,812690
1997-04-16,35040,322570,64760,393430,815800
1997-04-17,35000,327690,61420,376720,800830
1997-04-18,37950,353710,64320,343100,799080
1997-04-19,27870,327070,61220,357860,774020
1997-04-20,34450,316140,66740,367960,785290
1997-04-21,39500,337710,61280,383180,821670
1997-04-22,37850,343710,66020,377420,825000
1997-04-23,39720,353060,77470,391220,861470
1997-04-24,39820,333410,78230,343060,794520
1997-04-25,44920,280430,65210,334630,725190
1997-04-26,34240,306680,79560,353390,773870
1997-04-27,30050,249430,66320,275200,621000
1997-04-28,39000,253520,77850,336570,706940
1997-04-29,34650,326740,66200,364640,792230
1997-04-30,33160,285950,56390,331140,706640
1997-05-01,29320,283200,62710,323150,698380
1997-05-02,35970,308410,61830,335590,741800
